Object,Actual Mass (kg),Predicted Mass (kg),% Error
Electron,9.1093837015e-31,9.1093837015e-31,0.000% 🩷️
Proton,1.67262192369e-27,1.6204011882387627e-27,-3.12% 🟡🡇
Neutron,1.67492749804e-27,1.6820933140661992e-27,0.43% ❤️🡅
H,1.6735576934604897e-27,1.6213121266089127e-27,-3.12% 🟡🡇
He,6.646476991348174e-27,6.566093088389581e-27,-1.21% 🟢🡇
Li,1.1524141126186498e-26,1.1521897059736579e-26,-0.02% ❤️🡇
Be,1.496511018118414e-26,1.479232285698426e-26,-1.15% 🟢🡇
B,1.7950427316149283e-26,1.8062459594032067e-26,0.62% ❤️🡅
C,1.994473473582507e-26,1.9660684282875107e-26,-1.42% 🟢🡇
N,2.325867255218392e-26,2.2942495921547524e-26,-1.36% 🟢🡇
O,2.656696453571437e-26,2.6202679722579234e-26,-1.37% 🟢🡇
F,3.154692119816874e-26,3.1141642944717615e-26,-1.28% 🟢🡇
Ne,3.3509678375568226e-26,3.27438828871705e-26,-2.29% 🟢🡇
Na,3.817540956980222e-26,3.76812763664422e-26,-1.29% 🟢🡇
Mg,4.035940202766034e-26,3.92849684790831e-26,-2.66% 🟡🡇
Al,4.480389877170523e-26,4.422134285847156e-26,-1.30% 🟢🡇
Si,4.663623970157749e-26,4.5826313671704056e-26,-1.74% 🟢🡇
P,5.1433141858344745e-26,5.0762017060423664e-26,-1.30% 🟢🡇
S,5.323688249359353e-26,5.236814947245297e-26,-1.63% 🟢🡇
Cl,5.886610993131287e-26,5.730341690325316e-26,-2.65% 🟡🡇
Ar,6.633521465546083e-26,6.556488211677202e-26,-1.16% 🟢🡇
K,6.492425461008321e-26,6.384562404557175e-26,-1.66% 🟢🡇
Ca,6.655108473419344e-26,6.545384533890111e-26,-1.65% 🟢🡇
Sc,7.464953376480028e-26,7.371389553572921e-26,-1.25% 🟢🡇
Ti,7.948502352841052e-26,7.864703220205207e-26,-1.05% 🟢🡇
V,8.45911811599701e-26,8.358690457564628e-26,-1.19% 🟢🡇
Cr,8.634138933677134e-26,8.518985596320519e-26,-1.33% 🟢🡇
Mn,9.122669527239679e-26,9.012946116170901e-26,-1.20% 🟢🡇
Fe,9.273280420632346e-26,9.173381305614673e-26,-1.08% 🟢🡇
Co,9.786054884575631e-26,9.667323500429791e-26,-1.21% 🟢🡇
Ni,9.746201946963458e-26,9.661857763028659e-26,-0.87% ❤️🡇
Cu,1.0552061556262928e-25,1.0488564988808498e-25,-0.60% ❤️🡇
Zn,1.0856604421182608e-25,1.0649111056405974e-25,-1.91% 🟢🡇
Ga,1.1577776538056212e-25,1.1476291257321846e-25,-0.88% ❤️🡇
Ge,1.2060495244883648e-25,1.1970017052249643e-25,-0.75% ❤️🡇
As,1.2441090799079895e-25,1.229727865429305e-25,-1.16% 🟢🡇
Se,1.3113443067378584e-25,1.2958108924766332e-25,-1.18% 🟢🡇
Br,1.3268371362345906e-25,1.311881889444898e-25,-1.13% 🟢🡇
Kr,1.3914985275103401e-25,1.3779277568023628e-25,-0.98% ❤️🡇
Rb,1.4192295299321434e-25,1.3940004173701024e-25,-1.78% 🟢🡇
Sr,1.4549643306577245e-25,1.443392002013488e-25,-0.80% ❤️🡇
Y,1.4763188630615803e-25,1.4594768087203736e-25,-1.14% 🟢🡇
Zr,1.51481015863867e-25,1.4922198558357713e-25,-1.49% 🟢🡇
Nb,1.542740425748534e-25,1.5249660745956563e-25,-1.15% 🟢🡇
Mo,1.593287234953306e-25,1.5743604747538005e-25,-1.19% 🟢🡇
Tc,1.6273282858303698e-25,1.6071508909063507e-25,-1.24% 🟢🡇
Ru,1.6783068351926068e-25,1.6565509414807373e-25,-1.30% 🟢🡇
Rh,1.7088607540286058e-25,1.6893046794561015e-25,-1.14% 🟢🡇
Pd,1.7671456752864078e-25,1.738710777991202e-25,-1.61% 🟢🡇
Ag,1.7912234917604285e-25,1.7715069075118822e-25,-1.10% 🟢🡇
Cd,1.866611965410121e-25,1.8375751315253815e-25,-1.56% 🟢🡇
In,1.9066309569290108e-25,1.8870319400570543e-25,-1.03% 🟢🡇
Sn,1.9712259266420733e-25,1.9531607912955154e-25,-0.92% ❤️🡇
Sb,2.0218723681908758e-25,2.0026269219261337e-25,-0.95% ❤️🡇
Te,2.118847849713828e-25,2.1021473600891206e-25,-0.79% ❤️🡇
I,2.1072983023399147e-25,2.084820538934617e-25,-1.07% 🟢🡇
Xe,2.1801217412925434e-25,2.1509729394914805e-25,-1.34% 🟢🡇
Cs,2.2070224741807596e-25,2.183735082228108e-25,-1.06% 🟢🡇
Ba,2.280418300949844e-25,2.249897833824849e-25,-1.34% 🟢🡇
La,2.3066548182111905e-25,2.282662036622499e-25,-1.04% 🟢🡇
Ce,2.326747340923994e-25,2.298716522736298e-25,-1.20% 🟢🡇
Pr,2.3398655995546673e-25,2.3148166109252432e-25,-1.07% 🟢🡇
Nd,2.3951615504915565e-25,2.364266124495218e-25,-1.29% 🟢🡇
Pm,2.4077816474020777e-25,2.380376583434653e-25,-1.14% 🟢🡇
Sm,2.4967865414025964e-25,2.463207977551636e-25,-1.34% 🟢🡇
Eu,2.5233551664773776e-25,2.4960220820057755e-25,-1.08% 🟢🡇
Gd,2.611197683130874e-25,2.5788767169323986e-25,-1.24% 🟢🡇
Tb,2.639094739459395e-25,2.6116586062688533e-25,-1.04% 🟢🡇
Dy,2.698375984157501e-25,2.677844556330894e-25,-0.76% ❤️🡇
Ho,2.738727083489826e-25,2.710628828128661e-25,-1.03% 🟢🡇
Er,2.777417643754976e-25,2.7434163168694245e-25,-1.22% 🟢🡇
Tm,2.8051486461767794e-25,2.7762069873093676e-25,-1.03% 🟢🡇
Yb,2.873562855744342e-25,2.8423996879652412e-25,-1.08% 🟢🡇
Lu,2.9054452058340798e-25,2.8751928185626437e-25,-1.04% 🟢🡇
Hf,2.9638961809985993e-25,2.9246747393625313e-25,-1.32% 🟢🡇
Ta,3.0047454420510756e-25,2.9741891087775955e-25,-1.02% 🟢🡇
W,3.0527350210924e-25,3.0236763798761604e-25,-0.95% ❤️🡇
Re,3.0920897969844204e-25,3.0565057745255998e-25,-1.15% 🟢🡇
Os,3.1588434674848085e-25,3.1226879937646515e-25,-1.14% 🟢🡇
Ir,3.191888194921568e-25,3.1555195330116245e-25,-1.14% 🟢🡇
Pt,3.23937961224274e-25,3.2050158223161166e-25,-1.06% 🟢🡇
Au,3.270763800612326e-25,3.237822955893522e-25,-1.01% 🟢🡇
Hg,3.3308753148440195e-25,3.304044367663439e-25,-0.81% ❤️🡇
Tl,3.393809745489908e-25,3.3535761367467276e-25,-1.19% 🟢🡇
Pb,3.4406369471842102e-25,3.4030823239216496e-25,-1.09% 🟢🡇
Bi,3.470194542579905e-25,3.435894860611757e-25,-0.99% ❤️🡇
Po,3.4705266503933395e-25,3.4353019783088264e-25,-1.01% 🟢🡇
At,3.487132041065078e-25,3.4514391261713347e-25,-1.02% 🟢🡇
Rn,3.68639672912594e-25,3.65132449004031e-25,-0.95% ❤️🡇
Fr,3.703002119797678e-25,3.6674328233094477e-25,-0.96% ❤️🡇
Ra,3.7528182918128935e-25,3.716953914819042e-25,-0.96% ❤️🡇
Ac,3.769423682484632e-25,3.733071640401117e-25,-0.96% ❤️🡇
Th,3.853114851470194e-25,3.816029214308259e-25,-0.96% ❤️🡇
Pa,3.836509460798455e-25,3.798722646127395e-25,-0.98% ❤️🡇
U,3.9525811415939075e-25,3.9151129721935166e-25,-0.95% ❤️🡇
H2O,2.991461129513685e-26,2.9445303975797057e-26,-1.57% 🟢🡇
CO2,7.308032434632099e-26,7.206604372803358e-26,-1.39% 🟢🡇
O2,5.313525750268249e-26,5.240535944515847e-26,-1.37% 🟢🡇
N2,4.651734510436784e-26,4.588499184309505e-26,-1.36% 🟢🡇
CH4,2.6635046637468497e-26,2.614593278931076e-26,-1.84% 🟢🡇
C6H12O6,2.991627183420402e-25,2.94635929552033e-25,-1.51% 🟢🡇
NH3,2.8279810583504195e-26,2.7806432301374264e-26,-1.67% 🟢🡇
HCl,6.054325438915844e-26,5.892472902986208e-26,-2.67% 🟡🡇
C2H2,4.324043730920697e-26,4.256399281896804e-26,-1.56% 🟢🡇
NaCl,9.70419030856396e-26,9.498469326969537e-26,-2.12% 🟢🡇
CaCO3,1.661982075623221e-25,1.6372256878951394e-25,-1.49% 🟢🡇
C2H6,4.993240974991757e-26,4.904924132540369e-26,-1.77% 🟢🡇
C2H4,4.65781208342264e-26,4.5806617072185865e-26,-1.66% 🟢🡇
C8H18,1.8968337764326854e-25,1.864690925419613e-25,-1.69% 🟢🡇
C6H6,1.2970470653694916e-25,1.2769197845690413e-25,-1.55% 🟢🡇
CH3COOH,9.971869206192385e-26,9.821197651734433e-26,-1.51% 🟢🡇
H2SO4,1.6286401116934371e-25,1.6042149261598773e-25,-1.50% 🟢🡇
C12H22O11,5.684025226936077e-25,5.598265551282689e-25,-1.51% 🟢🡇
C8H10N4O2,3.224600814544893e-25,3.1767393866043854e-25,-1.48% 🟢🡇
