base,mean,std,count,is_amphi,flag
12a_1202,-0.5953302019653927,0.13481726497352342,2,True,WARN(amphi≠−0.5)
15331,-0.5000000001819942,,1,True,
1_1,-0.5,,1,False,
3_1,-0.48492287468150025,0.018910445920322587,3,False,
4_1,-0.503495824034555,0.009164484123537292,4,True,
5_1,-0.4809827729655825,0.013950591862554573,3,False,
5_2,-0.5112870048756862,0.06878121580650427,3,False,
6_1,-0.4810276227543273,,1,False,
6_2,-0.4623098594426633,0.022947411595550218,3,False,
6_3,-0.4842187281638407,0.022318089664029286,2,True,
7_1,-0.4602035166820165,0.04768028616618413,2,False,
7_2,-0.42524410471952584,0.06907409266829136,3,False,
7_3,-0.3607410420339625,0.272777845364633,2,False,
7_4,-0.5801849567607952,,1,False,
7_5,-0.551039417984253,0.17245331143785467,2,False,
7_6,-0.45987150684154954,0.005492788678075929,2,False,
7_7,-0.5412828023290143,,1,False,
8_1,-0.46493600894852916,0.05847345522516847,2,False,
8_10,-0.5515292847479167,,1,False,
8_11,-0.42336381059917794,0.005944587760196676,2,False,
8_12,-0.4137834297388531,0.1219286452762875,2,True,WARN(amphi≠−0.5)
8_13,-0.4788271247433147,0.07884757384935392,2,False,
8_14,-0.42307357790310374,0.015631776198582883,2,False,
8_15,-0.3668528442114522,0.08364185090600414,3,False,
8_16,-0.5250586634913066,,1,False,
8_17,-0.5019807490171049,,1,False,
8_18,-0.4738298954484198,0.09275762831951702,2,False,
8_19,-0.490672392233068,0.006809804299071652,2,False,
8_2,-0.3876576954249972,0.009099475803639526,2,False,
8_20,-0.46186295091619833,,1,False,
8_21,-0.4310253616368778,0.04857048660788189,3,False,
8_3,-0.527188904426366,0.038450927266080646,2,True,WARN(amphi≠−0.5)
8_4,-0.624136361181264,,1,False,
8_5,-1.994309717148062,,1,False,
8_6,-0.46311801713210576,0.009576037430124602,2,False,
8_7,-0.5379276154599036,0.014938818307592713,2,False,
8_8,-0.591025079331844,,1,False,
8_9,-0.513423831521842,,1,True,
