N_geom,N_int_actual,fit_method,plateau_frac,p_exp,lambda_K,A_K,A_ratio,a_nc_over_rc,a_star_over_rc,is_min,E_star_J,root_count,min_root_count,root_choice,continuation_prev_a_star_over_rc,continuation_jump,beta_dimless,contact_model,postcheck_root_selection_mode,postcheck_contact_model,contact_force_at_x1,F_at_x1,legacy_contact_model,legacy_a_star_over_rc,legacy_F_at_x1,delta_a_star_vs_legacy,theorem_candidate_full_model
32000,32000,plateau_0.12,0.12,2,0.0,0.07964105459488269,1.0007990081577083,1.000399424308965,1.000399424308965,True,1.5419788249232293e-36,1,1,targeted_x_nc,nan,nan,6.282999341185258,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.0007990081577082808,legacy,1.000399424308965,-0.0007990081577082808,0.0,True
32000,32000,plateau_0.12,0.12,2,0.001,0.07964105459488269,1.0007990081577083,1.000399424308965,1.0003956046978046,True,1.541978826078129e-36,1,1,targeted_x_nc,nan,nan,6.282999341185258,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.0007990081577082808,legacy,0.9964220608756321,0.007240377124058263,0.0039735438221725206,True
32000,32000,plateau_0.12,0.12,2,0.003,0.07964105459488269,1.0007990081577083,1.000399424308965,1.0003881806516095,True,1.5419788283229e-36,1,1,targeted_x_nc,nan,nan,6.282999341185258,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.0007990081577082808,legacy,0.988731341221494,0.023319147687591347,0.011656839430115529,True
32000,32000,plateau_0.12,0.12,2,0.01,0.07964105459488269,1.0007990081577083,1.000399424308965,1.0003642566815587,True,1.5419788355569346e-36,1,1,targeted_x_nc,nan,nan,6.282999341185258,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.0007990081577082808,legacy,0.9642014435727789,0.07959484465995716,0.03616281310877978,True
48000,48000,plateau_0.12,0.12,2,0.0,0.07961931281772146,1.0005257929280855,1.0002628619158493,1.0002628619158493,True,1.5480087872056168e-36,1,1,targeted_x_nc,nan,nan,6.282999316505259,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.0005257929280855222,legacy,1.0002628619158493,-0.0005257929280855222,0.0,True
48000,48000,plateau_0.12,0.12,2,0.001,0.07961931281772146,1.0005257929280855,1.0002628619158493,1.0002603486006678,True,1.548008787705749e-36,1,1,targeted_x_nc,nan,nan,6.282999316505259,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.0005257929280855222,legacy,0.9962867891492603,0.007513592461078291,0.003973559451407538,True
48000,48000,plateau_0.12,0.12,2,0.003,0.07961931281772146,1.0005257929280855,1.0002628619158493,1.0002554635061895,True,1.548008788677855e-36,1,1,targeted_x_nc,nan,nan,6.282999316505259,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.0005257929280855222,legacy,0.9885984933922827,0.023592363239405917,0.011656970113906873,True
48000,48000,plateau_0.12,0.12,2,0.01,0.07961931281772146,1.0005257929280855,1.0002628619158493,1.0002397208709453,True,1.5480087918106304e-36,1,1,targeted_x_nc,nan,nan,6.282999316505259,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.0005257929280855222,legacy,0.9640757533299448,0.0798680609635526,0.036163967541000486,True
64000,64000,plateau_0.12,0.12,2,0.0,0.07945278703927311,0.9984331682792589,0.9992162770287817,0.9992162770287816,True,1.558084726674333e-36,1,1,targeted_x_nc,nan,nan,6.28299933531108,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.0015668317207411242,legacy,0.9992162770287816,0.0015668317207411242,0.0,True
64000,64000,plateau_0.12,0.12,2,0.001,0.07945278703927311,0.9984331682792589,0.9992162770287817,0.9992237618415639,True,1.5580847311168525e-36,1,1,targeted_x_nc,nan,nan,6.28299933531108,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.0015668317207411242,legacy,0.9952500831950049,0.009606217028069693,0.0039736786465590646,True
64000,64000,plateau_0.12,0.12,2,0.003,0.07945278703927311,0.9984331682792589,0.9992162770287817,0.9992383111184914,True,1.5580847397521644e-36,1,1,targeted_x_nc,nan,nan,6.28299933531108,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.0015668317207411242,legacy,0.987580341815321,0.025684987642726826,0.011657969303170423,True
64000,64000,plateau_0.12,0.12,2,0.01,0.07945278703927311,0.9984331682792589,0.9992162770287817,0.9992852072314565,True,1.5580847675839998e-36,1,1,targeted_x_nc,nan,nan,6.28299933531108,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.0015668317207411242,legacy,0.9631124026396661,0.08196068479402681,0.0361728045917904,True
