a_mid,A_local,A_local_minus_Areq,rel_dE,mask_plateau_0p06,mask_plateau_0p08,mask_plateau_0p10,mask_plateau_0p12,mask_plateau_0p14,mask_plateau_0p16
0.0017272137162901559,0.05620740883434054,-0.02337006271160713,0.026926181131270384,1,1,1,1,1,1
0.002187089135563547,0.08427585334032506,0.004698381794377385,0.04148953516150616,1,1,1,1,1,1
0.002769407654528227,0.12360433985887519,0.044026868312927514,0.06348516769950603,1,1,1,1,1,1
0.0035067700864342276,0.04815740544688483,-0.031420066099062845,0.026411129352283506,1,1,1,1,1,1
0.004440457301041442,0.0795932303489453,1.5758802997631327e-05,0.04483574826764475,1,1,1,1,1,1
0.005622741313623346,0.09244669161845581,0.012869220072508139,0.05452072277338479,1,1,1,1,1,1
0.007119811707796831,0.07248156757171577,-0.007095903974231904,0.0452111749525365,1,1,1,1,1,1
0.009015481226507754,0.07736566289279337,-0.002211808653154304,0.05054278167089609,1,1,1,1,1,1
0.01141587798684425,0.09041114234292666,0.010833670796978986,0.06220960516899442,1,1,1,1,1,1
0.014455387009995126,0.07121757958132867,-0.008359891964619004,0.05225368437655182,1,1,1,1,1,1
0.018304173699959028,0.08469810522948855,0.005120633683540876,0.0655709231940838,1,1,1,1,1,1
0.023177710469225607,0.0747863698898541,-0.004791101656093574,0.06196032863665009,1,1,1,1,1,1
0.029348839854838837,0.08202435194293119,0.002446880396983514,0.07244574140724908,1,1,1,1,1,1
0.03716304947240784,0.0788011916482667,-0.0007762798976809759,0.07503493572683653,1,1,1,1,1,1
0.04705781396878375,0.08046008421527348,0.000882612669325808,0.08282966078717358,1,1,1,1,1,1
0.05958708682302286,0.08055882638820155,0.0009813548422538815,0.09042083831616182,1,1,1,1,1,1
0.07545231315695632,0.07827936089508696,-0.0012981106508607176,0.09659667277707389,0,1,1,1,1,1
0.09554169979217308,0.07968887884082008,0.00011140729487241208,0.10885062507995641,0,0,1,1,1,1
0.1209799410680645,0.07890149091072746,-0.0006759806352202163,0.12093942891299822,0,0,0,0,1,1
0.15319118429617243,0.07866382323292105,-0.0009136483130266215,0.13716362467025733,0,0,0,0,0,1
0.19397875994054917,0.07817454857663748,-0.0014029229693101886,0.15797953795053524,0,0,0,0,0,0
0.24562614017870302,0.077481590138436,-0.002095881407511671,0.1859564885923603,0,0,0,0,0,0
0.31102477795805356,0.07647797497677332,-0.0030994965691743537,0.22547664949657203,0,0,0,0,0,0
